기준일ID,시간대구분,시군구명,읍면동명,총생활인구수,남자 10대,남자 20대,남자 30대,남자 40대,남자 50대,남자 60대,남자 70대,여자 10대,여자 20대,여자 30대,여자 40대,여자 50대,여자 60대,여자 70대
평일(7월5일),0,강북구,송중동,36979.2141,799.7408,1349.4621,1392.903,1317.1977,1379.0828,867.6133,2239.5062,960.2131,1355.7623,1250.5644,1463.5979,1501.6222,1149.2893,3407.3872
평일(7월5일),0,강북구,송천동,28669.5318,745.4348,853.8792,1025.4177,1104.1498,1115.1785,700.2857,1664.8796,627.366,864.2625,1013.7317,1186.0959,1211.2648,960.6623,2792.0103
평일(7월5일),0,강북구,삼각산동,27479.0131,874.522,463.203,1039.1748,1329.4701,712.6531,613.5606,1195.5547,951.5464,553.5843,1242.5884,1423.8646,961.9587,797.5662,1839.4543
평일(7월5일),0,강북구,번제1동,23992.7704,483.4832,961.8381,915.8154,1120.1111,741.5566,535.6627,1255.1948,508.7967,1114.4092,824.0271,884.2416,1013.043,746.2955,2242.8167
평일(7월5일),0,강북구,번제2동,15396.0593,344.6,526.0064,443.5963,611.1354,570.7264,373.6692,920.7875,419.0864,522.2321,508.8965,585.983,816.7691,609.2716,1453.5427
평일(7월5일),0,강북구,번제3동,19294.562,543.6855,421.9134,585.0141,675.8521,729.8598,498.727,1159.9296,493.2428,551.2215,623.1629,851.0904,943.6918,919.9371,1903.2965
평일(7월5일),0,강북구,수유제1동,22506.8669,533.3762,791.5445,717.0288,776.5891,826.4514,538.6551,1297.493,528.232,871.6666,736.1187,915.8081,1140.1071,823.3549,2202.5702
평일(7월5일),0,강북구,수유제2동,24137.8178,534.0165,695.7821,761.5984,944.3419,856.0597,629.7473,1459.4597,600.5148,842.9764,833.9455,959.2925,1118.8391,870.4873,2260.1366
평일(7월5일),0,강북구,수유제3동,29865.9514,715.3543,1494.17,1295.5821,1184.7879,1087.8169,558.6989,1462.0305,584.4491,1486.1941,1029.6246,1183.8112,1302.9587,780.8626,2311.6137
평일(7월5일),0,강북구,우이동,21639.5107,553.6112,566.6629,677.3933,867.1985,729.2825,550.7264,1446.6901,563.0178,639.7877,701.2429,949.0988,875.8215,763.5434,2377.2758
평일(7월5일),0,강북구,인수동,34677.0306,841.2606,984.7053,1138.6779,1142.2236,1073.9578,819.3399,2142.5458,706.9181,1174.2183,1136.8817,1486.6183,1662.6221,1238.023,3854.4654
평일(7월5일),0,도봉구,창제1동,27949.4235,737.3799,743.9423,988.808,1096.579,1027.0533,616.727,1310.2342,677.8871,985.0483,1082.9545,1204.523,1386.7744,805.7966,2326.3585
평일(7월5일),0,도봉구,창제2동,33071.1826,920.4161,1076.4695,1418.4595,1216.3539,1166.5432,875.4166,1604.8392,787.8689,1216.377,1380.934,1426.1799,1530.3433,889.289,2945.416
평일(7월5일),0,도봉구,창제3동,15481.6488,510.3675,442.8797,584.4179,640.8378,553.6569,317.6014,730.8994,426.5357,421.8119,616.0647,653.4228,704.3199,426.7223,1460.9766
평일(7월5일),0,도봉구,창제4동,36126.8122,1037.9888,885.2184,1281.5775,1545.9037,1291.3491,764.2818,1726.9476,1047.9238,1096.1199,1385.0759,1713.7088,1713.8243,936.8609,2697.8211
평일(7월5일),0,도봉구,창제5동,23818.8047,608.7103,706.7913,907.1722,800.641,886.4248,570.6002,1102.0138,590.6535,788.6909,918.453,991.6333,1212.8872,742.9293,1906.5812
평일(7월5일),0,도봉구,도봉제1동,18664.8084,391.372,566.9217,551.7421,689.9994,738.5172,535.142,1303.1163,367.8542,598.8913,586.8119,585.1205,958.2711,643.591,2040.4727
평일(7월5일),0,도봉구,도봉제2동,21761.1925,465.8053,564.0988,795.8237,694.2776,877.1439,587.3552,1476.2708,472.2655,712.8448,701.3252,773.7365,993.9198,724.8894,2022.3005
평일(7월5일),0,도봉구,쌍문제1동,21648.2979,502.163,573.2386,622.4191,841.7091,666.6504,527.7817,1349.3371,686.1395,833.5099,767.9988,1039.6527,943.449,752.8858,2054.6634
평일(7월5일),0,도봉구,쌍문제2동,20627.6325,488.53,678.2881,738.3882,681.3112,827.285,490.2888,1076.9933,487.7824,739.8679,790.6009,837.464,1047.3381,644.0288,1802.0155
평일(7월5일),0,도봉구,쌍문제3동,14712.3482,282.7125,572.1289,626.3252,499.2243,526.3454,322.8707,768.2679,340.9058,643.2315,633.055,584.8287,622.3696,457.873,1348.9343
평일(7월5일),0,도봉구,쌍문제4동,17939.5446,623.5789,454.418,500.2108,675.0607,763.3836,371.0547,761.3216,501.8586,641.9909,607.6539,979.3028,999.3648,517.8829,1365.3352
평일(7월5일),0,도봉구,방학제1동,25202.4605,623.0613,742.1071,938.461,1049.24,1016.83,668.3462,1327.2745,563.5305,749.7008,935.8642,1097.4961,1094.4376,750.9918,1924.7212
평일(7월5일),0,도봉구,방학제2동,16977.8193,357.4838,554.4789,637.5774,719.9029,594.2082,478.3878,953.5584,413.7732,562.4719,525.8317,789.0992,816.9282,662.6091,1573.5297
평일(7월5일),0,도봉구,방학제3동,26785.8205,715.4843,725.0414,763.641,1087.9469,1090.1724,675.028,1443.6517,627.2144,709.9898,842.9154,1164.1776,1280.3247,836.1149,2663.3781
평일(7월5일),0,노원구,월계1동,25491.0904,928.5373,1200.6465,914.9078,826.5838,762.8554,715.5866,1165.9325,710.533,849.0712,944.137,902.6736,1068.0281,721.9965,1923.0649
평일(7월5일),0,노원구,월계2동,23306.7214,752.5283,593.3288,757.074,889.4944,867.5082,581.3171,1223.5541,677.4432,648.6339,865.1875,989.2585,980.6202,872.2406,2174.5207
평일(7월5일),0,노원구,월계3동,31631.0255,740.1621,1014.7081,1251.05,1041.067,1147.6083,719.2635,1378.8645,732.9067,948.1755,1409.9562,1320.5705,1377.1054,1072.5417,2301.83
평일(7월5일),0,노원구,공릉1동,45053.405,1141.645,1809.3645,1906.3783,1619.3461,1546.8488,1049.9647,1775.2322,1044.0464,1794.6443,1875.0709,1606.3509,1902.2741,1393.2822,2935.6692
평일(7월5일),0,노원구,공릉2동,56443.6431,2269.3611,2110.3678,1727.5689,2269.881,1820.6052,1210.0607,2274.2069,2158.1031,1912.8322,2017.8899,2402.4174,2223.2034,1333.2394,3551.4428
평일(7월5일),0,노원구,하계1동,29364.9982,1397.0917,1055.1195,811.3671,1253.1214,1168.8319,526.5074,1031.7784,1089.2326,913.0629,877.5676,1430.6816,1344.073,783.9716,2287.3786
평일(7월5일),0,노원구,하계2동,23388.694,968.8208,678.2381,640.1129,1092.8326,891.7902,370.6774,800.1656,843.6522,738.3923,819.6823,1233.6612,1070.3131,534.0499,1694.0788
평일(7월5일),0,노원구,중계본동,24626.9805,1316.3794,556.7346,426.6008,1338.0371,956.9043,311.5011,694.5368,1340.7312,569.3109,640.0223,1626.7338,876.2959,425.8829,1265.5185
평일(7월5일),0,노원구,중계1동,24673.4494,1329.9164,477.0245,514.8765,1434.8328,803.7727,441.1721,635.953,1331.3163,499.0821,688.9675,1758.3511,925.0296,370.7027,1454.9586
평일(7월5일),0,노원구,중계4동,23698.9871,1043.5512,556.2565,638.5726,969.0137,853.2626,461.2205,1070.5568,723.0514,561.856,743.216,1381.8038,1011.5293,662.3801,2325.1618
평일(7월5일),0,노원구,중계2.3동,41722.3016,1344.1548,1038.1996,1339.5618,1725.8008,1500.3915,777.7788,1778.4907,1461.4021,1176.0657,1600.4116,2096.8974,1669.0045,1186.0857,3917.8865
평일(7월5일),0,노원구,상계1동,42878.8295,1200.1803,1265.8373,1511.9293,1680.7993,1652.7859,1137.369,2151.6724,1074.236,1386.7319,1746.8539,1858.4571,2149.5514,1191.135,3407.284
평일(7월5일),0,노원구,상계2동,25988.1738,1030.9579,1008.1938,917.6556,916.3097,1003.0798,587.9766,1024.8252,864.16,1020.2314,756.1465,1058.6217,1130.4785,630.666,1888.1916
평일(7월5일),0,노원구,상계3.4동,25782.138,709.93,668.2299,759.0957,1036.1684,1035.8075,742.9675,1654.7704,670.2677,719.5862,784.5464,1082.6874,1279.3153,924.1675,2729.8943
