사업장명,소재지전체주소,시군구명,읍면동명,소재지면적,시설총규모,전화번호,위치정보(X),위치정보(Y)
호치킨하우스상계역점,서울특별시 노원구 중계동 152-5번지 광현빌딩 1층 ,노원구,중계동,60,60,29308788,206675.4277,462246.7589
바모스,서울특별시 노원구 중계동 154-11번지 2층 ,노원구,중계동,65.92,65.92,02 9372308,206556.3844,462263.2231
7080,서울특별시 노원구 중계동 154-16번지 지하1층 ,노원구,중계동,114.96,114.96,,206548.0131,462286.8771
인상적,서울특별시 노원구 중계동 154-19번지 지하1층 ,노원구,중계동,96,96,,206560.2089,462320.9857
홍화불닭,서울특별시 노원구 중계동 154-22번지 ,노원구,중계동,29.02,29.02,33922555,206566.4914,462280.1559
또봉이통닭,서울특별시 노원구 중계동 154-29번지 ,노원구,중계동,54.83,54.83,02 9513734,206521.1922,462263.3881
맥주창고,서울특별시 노원구 중계동 154-36번지 ,노원구,중계동,68.43,68.43,33911828,206540.4851,462270.5316
친구야,서울특별시 노원구 중계동 154-36번지 ,노원구,중계동,77.41,77.41,,206540.4851,462270.5316
땡큐37,서울특별시 노원구 중계동 154-41번지 2층 ,노원구,중계동,181.5,181.5,,206567.542,462249.5868
맥주창고,서울특별시 노원구 중계동 154-8번지 지상3층 ,노원구,중계동,198,198,,206601.5445,462275.3131
진미치킨,서울특별시 노원구 중계동 157-49번지 ,노원구,중계동,33,33,29510666,206754.0089,462090.9688
정스치킨로드,서울특별시 노원구 중계동 27-44번지 ,노원구,중계동,49.5,49.5,,207421.2411,460516.168
오븐 쿡 치킨,서울특별시 노원구 중계동 358-6번지 109호 ,노원구,중계동,20.88,20.88,29320999,206857.9321,461870.1938
한잔,서울특별시 노원구 중계동 359-10번지 영광프라자 107호,노원구,중계동,28.49,28.49,,206756.0789,461316.0688
빅스타피자,서울특별시 노원구 중계동 359-3번지 5단지1상가 105호 ,노원구,중계동,19.95,19.95,,206876.9156,461640.7831
호식이두마리치킨,서울특별시 노원구 중계동 359-3번지 주공5단지상가 103호 ,노원구,중계동,19.66,19.66,,206876.9156,461640.7831
치킨매니아,서울특별시 노원구 중계동 359-3번지 중계5단지종합상가1 제1층 106호 ,노원구,중계동,37.49,37.49,29309555,206876.9156,461640.7831
밀숲,"서울특별시 노원구 중계동 360-12번지 106,7호",노원구,중계동,62.7,62.7,,206733.2767,460989.1261
BBQ치킨(중계중앙지점),서울특별시 노원구 중계동 360-15번지 건영아파트상가 107호,노원구,중계동,21.28,21.28,9515211,206580.0001,460920.3103
꼬꼬스토리,서울특별시 노원구 중계동 360-2번지 청구상가 지하112호 ,노원구,중계동,12.54,12.54,,206617.2868,461197.6525
교촌치킨,서울특별시 노원구 중계동 360-9번지 두타빌 B동 117호 ,노원구,중계동,27.36,27.36,02  931 9925,206740.947,461145.4483
디오니스,"서울특별시 노원구 중계동 360-9번지 두타빌상가117,118호 ",노원구,중계동,51.8,,,206740.947,461145.4483
그리운사람끼리 한잔,서울특별시 노원구 중계동 362-3번지 주공8단지상가101호 ,노원구,중계동,32.48,32.48,,206719.6998,460801.9649
마로바베큐치킨,서울특별시 노원구 중계동 364-14번지 102호,노원구,중계동,41.61,41.61,29369995,206926.5156,460961.5652
가마로 강정,서울특별시 노원구 중계동 364-22번지 대명프라자 102호,노원구,중계동,27.74,27.74,29318080,206802.709,461200.0534
두만이네통닭,"서울특별시 노원구 중계동 364번지 동진,신안아파트 상가동 112호",노원구,중계동,24.46,24.46,,206987.1315,461196.137
홀닭치킨,서울특별시 노원구 중계동 364번지 신안동진상가 105호,노원구,중계동,20.16,20.16,7041191002,206987.1315,461196.137
비비큐중계은행점,서울특별시 노원구 중계동 366-10번지 중원코아빌딩105호 ,노원구,중계동,36,36,,206844.3208,461349.1133
노블시티까페,서울특별시 노원구 중계동 366-11번지 노블씨티빌딩 지하1층 ,노원구,중계동,147.85,147.85,9311809,206862.5101,461365.779
옛날통닭,서울특별시 노원구 중계동 366-13번지 동진프라자 108호,노원구,중계동,20.34,20.34,,206872.353,461324.3696
VIP일번지(전원마을)포장마차,서울특별시 노원구 중계동 366-15번지 ,노원구,중계동,33.44,33.44,29314043,206866.2348,461280.8102
주막촌,서울특별시 노원구 중계동 366-4번지 신아프라자 110호,노원구,중계동,24.12,24.12,29777355,206866.9636,461247.3336
코코윙,서울특별시 노원구 중계동 366-6번지 그랜드 102호,노원구,중계동,27.88,27.88,29304490,206824.8548,461283.8052
다모다모,서울특별시 노원구 중계동 366번지 라이프 202호,노원구,중계동,71.22,71.22,,206900.4139,461256.3504
참새방앗간,서울특별시 노원구 중계동 366번지 신동아 108호 ,노원구,중계동,23.31,23.31,,206900.4139,461256.3504
처갓집양념치킨중계주공점,서울특별시 노원구 중계동 369-7번지 2단지상가 상가동 106호,노원구,중계동,22.41,22.41,02 9529034,206882.0934,461944.0803
치킨마루(중계4동점),서울특별시 노원구 중계동 434-1번지 세양빌딩 1층 103호,노원구,중계동,107.55,107.55,20910009,206587.5214,461974.0921
치킨플러스 중계점,"서울특별시 노원구 중계동 445번지 염광상가 126,127호 ",노원구,중계동,36.9,36.9,,206427.7063,461951.0482
네네치킨중계2동점,서울특별시 노원구 중계동 502-1번지 ,노원구,중계동,24,24,978 4492,205651.2584,460589.0001
처갓집양념치킨중계점,서울특별시 노원구 중계동 502-1번지 시영1상가B 107동 ,노원구,중계동,13.26,13.26,209744444,205651.2584,460589.0001
후라이드참잘하는집,서울특별시 노원구 중계동 502-1번지 시영3상가 107동 ,노원구,중계동,19.89,19.89,209488380,205651.2584,460589.0001
KF치킨,서울특별시 노원구 중계동 503번지 유치원상가 109호,노원구,중계동,46.2,46.2,,205580.5104,460374.9859
교촌치킨,서울특별시 노원구 중계동 503번지 중계그린(아) B상가 113호 ,노원구,중계동,30.75,30.75,,205651.2584,460589.0001
멕시칸치킨,서울특별시 노원구 중계동 505번지 롯데상가 102호 ,노원구,중계동,17.39,17.39,,205632.8057,459948.9445
토모,서울특별시 노원구 중계동 506번지 브라운스톤 119호 ,노원구,중계동,39.52,39.52,,205673.7261,460030.6622
유나인(U9),서울특별시 노원구 중계동 506번지 브라운스톤 123호 ,노원구,중계동,42.84,42.84,,205673.7261,460030.6622
