강력범죄,살인기수,389 ,300 ,138 ,162 ,89 ,45 ,44 
강력범죄,살인미수등,586 ,517 ,212 ,305 ,69 ,23 ,46 
강력범죄,강도,1999 ,1786 ,1318 ,468 ,213 ,174 ,39 
강력범죄,강간,5621 ,5564 ,2357 ,3207 ,57 ,34 ,23 
강력범죄,유사강간,535 ,526 ,262 ,264 ,9 ,5 ,4 
강력범죄,강제추행,14488 ,14229 ,6570 ,7659 ,259 ,99 ,160 
강력범죄,기타 강간 강제추행등,686 ,656 ,349 ,307 ,30 ,15 ,15 
강력범죄,방화,1517 ,1295 ,509 ,786 ,222 ,84 ,138 
절도범죄,절도범죄,103166 ,81638 ,66676 ,14962 ,21528 ,17775 ,3753 
폭력범죄,상해,62059 ,51956 ,25006 ,26950 ,10103 ,6309 ,3794 
폭력범죄,폭행,192308 ,161073 ,40361 ,120712 ,31235 ,9908 ,21327 
폭력범죄,체포 감금,1226 ,997 ,508 ,489 ,229 ,92 ,137 
폭력범죄,협박,9197 ,8065 ,3253 ,4812 ,1132 ,489 ,643 
폭력범죄,약취 유인,252 ,172 ,92 ,80 ,80 ,40 ,40 
폭력범죄,폭력행위등,73002 ,61247 ,26254 ,34993 ,11755 ,6092 ,5663 
폭력범죄,공갈,2930 ,2509 ,1549 ,960 ,421 ,244 ,177 
폭력범죄,손괴,31749 ,27478 ,9561 ,17917 ,4271 ,2001 ,2270 
지능범죄,직무유기,860 ,731 ,151 ,580 ,129 ,17 ,112 
지능범죄,직권남용,587 ,513 ,85 ,428 ,74 ,6 ,68 
지능범죄,증수뢰,842 ,771 ,551 ,220 ,71 ,55 ,16 
지능범죄,통화,286 ,272 ,96 ,176 ,14 ,6 ,8 
지능범죄,문서 인장,19022 ,14021 ,6997 ,7024 ,5001 ,2718 ,2283 
지능범죄,유가증권인지,399 ,347 ,142 ,205 ,52 ,23 ,29 
지능범죄,사기,228205 ,177215 ,81291 ,95924 ,50990 ,23517 ,27473 
지능범죄,횡령,35945 ,28462 ,15562 ,12900 ,7483 ,3751 ,3732 
지능범죄,배임,8233 ,6778 ,2481 ,4297 ,1455 ,457 ,998 
풍속범죄,성풍속범죄,11917 ,10952 ,8491 ,2461 ,965 ,446 ,519 
풍속범죄,도박범죄,29166 ,23556 ,20882 ,2674 ,5610 ,4948 ,662 
특별경제범죄,특별경제범죄,90356 ,68802 ,35558 ,33244 ,21554 ,11868 ,9686 
마약범죄,마약범죄,6913 ,5334 ,4439 ,895 ,1579 ,1414 ,165 
보건범죄,보건범죄,20721 ,11041 ,9285 ,1756 ,9680 ,8248 ,1432 
환경범죄,환경범죄,3176 ,2818 ,2474 ,344 ,358 ,276 ,82 
교통범죄,교통범죄,549374 ,467654 ,132959 ,334695 ,81720 ,23554 ,58166 
노동범죄,노동범죄,2395 ,1728 ,1562 ,166 ,667 ,602 ,65 
안보범죄,안보범죄,174 ,142 ,116 ,26 ,32 ,26 ,6 
선거범죄,선거범죄,1121 ,1007 ,799 ,208 ,114 ,101 ,13 
병역범죄,병역범죄,18241 ,18145 ,17334 ,811 ,96 ,85 ,11 
기타범죄,기타범죄,241747 ,177646 ,114400 ,63246 ,64101 ,43795 ,20306 
