강력범죄,살인기수,379,297,142,155,82,44,38
강력범죄,살인미수등,616,555,190,365,61,21,40
강력범죄,강도,1716,1549,1119,430,167,115,52
강력범죄,강간,5829,5762,2412,3350,67,42,25
강력범죄,유사강간,598,591,284,307,7,5,2
강력범죄,강제추행,16016,15657,7062,8595,359,140,219
강력범죄,기타강간및강제추행등,521,514,273,241,7,5,2
강력범죄,방화,1396,1171,457,714,225,88,137
절도범죄,절도범죄,106415,81936,65911,16025,24479,20133,4346
폭력범죄,상해,65695,55556,25441,30115,10139,5921,4218
폭력범죄,폭행,216857,180760,46244,134516,36097,11812,24285
폭력범죄,체포감금,1687,1404,793,611,283,143,140
폭력범죄,협박,16825,15118,6895,8223,1707,752,955
폭력범죄,약취유인,305,212,127,85,93,59,34
폭력범죄,폭력행위등,40963,32948,14219,18729,8015,4427,3588
폭력범죄,공갈,3638,3175,1984,1191,463,250,213
폭력범죄,손괴,34995,30124,10836,19288,4871,2356,2515
지능범죄,직무유기,642,524,135,389,118,22,96
지능범죄,직권남용,577,512,84,428,65,13,52
지능범죄,증수뢰,788,730,571,159,58,38,20
지능범죄,통화,220,207,80,127,13,9,4
지능범죄,문서인장,18024,13163,6687,6476,4861,2585,2276
지능범죄,유가증권인지,373,318,125,193,55,15,40
지능범죄,사기,223210,173825,80023,93802,49385,22649,26736
지능범죄,횡령,35583,27993,15598,12395,7590,3978,3612
지능범죄,배임,7608,6138,2276,3862,1470,458,1012
풍속범죄,성풍속범죄,11207,10708,8334,2374,499,350,149
풍속범죄,도박범죄,33942,29165,26275,2890,4777,4255,522
특별경제범죄,특별경제범죄,77669,59877,29223,30654,17792,10231,7561
마약범죄,마약범죄,8443,6460,5312,1148,1983,1737,246
보건범죄,보건범죄,21649,11479,9705,1774,10170,8791,1379
환경범죄,환경범죄,3802,3392,3005,387,410,330,80
교통범죄,교통범죄,555352,473064,145318,327746,82288,23472,58816
노동범죄,노동범죄,5860,3504,3218,286,2356,2232,124
안보범죄,안보범죄,151,133,63,70,18,9,9
선거범죄,선거범죄,1525,1221,828,393,304,208,96
병역범죄,병역범죄,15659,15528,14844,684,131,116,15
기타범죄,기타범죄,310870,235245,159576,75669,75625,52767,22858
